43.6863,2.45124E-10
46.271,2.77027E-10
48.0852,3.08815E-10
52.553,3.45231E-10
54.868,3.8291E-10
59.742,4.2254E-10
59.268,4.637E-10
58.835,5.23642E-10
60.162,5.51299E-10
63.728,5.98656E-10
66.423,6.46969E-10
69.501,6.9664E-10
75.884,7.50826E-10
80.004,8.05929E-10
86.056,8.62984E-10
94.025,9.19616E-10
103.702,9.80495E-10
108.666,1.04206E-09
120.547,1.10355E-09
129.481,1.17216E-09
139.277,1.23801E-09
150.86,1.31558E-09
161.538,1.38165E-09
171.92,1.45829E-09
181.54,1.53164E-09
189.783,1.60444E-09
200.583,1.69177E-09
218.255,1.77235E-09
234.067,1.85312E-09
241.285,1.93655E-09
251.491,2.02357E-09
